time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,2048030_c,2048030_p,2048030_r,2048030_s,3814937_c,3814937_h,3814937_p,3814937_r,3814937_s,3816381_c,3816381_h,3816381_p,3816381_r,3816381_s
2023-05-30 13:15:00,,46.27,29.8,29.7,29.75,27.6,27.6,[27.6],,0.76,,,,29.8,0.8,26.0,26.0,,29.7,0.0,,
2023-05-30 13:20:00,,46.68,29.8,29.3,29.55,27.4,27.4,[27.4],,0.73,,,,29.8,4.74,26.5,26.0,,29.3,0.0,,
2023-05-30 13:25:00,,46.3,29.6,29.2,29.4,27.3,27.3,[27.3],,0.75,,,,29.6,0.58,27.5,26.0,,29.2,0.0,,
2023-05-30 13:30:00,,46.74,29.8,29.5,29.65,27.6,27.6,[27.6],,0.74,,,,29.8,4.96,27.0,26.0,,29.5,0.0,,
2023-05-30 13:35:00,,46.66,29.8,29.3,29.55,27.9,27.9,[27.9],,0.76,,,,29.8,0.58,27.5,26.0,,29.3,0.0,,
2023-05-30 13:40:00,,46.24,29.7,28.9,29.3,27.5,27.5,[27.5],,0.75,,,,29.7,4.93,26.0,26.0,,28.9,0.0,,
2023-05-30 13:45:00,,46.58,29.6,29.3,29.450000000000003,27.8,27.8,[27.8],,0.71,,,,29.6,0.93,28.5,26.0,,29.3,0.0,,
2023-05-30 13:50:00,,46.75,29.7,29.5,29.6,27.9,27.9,[27.9],,0.72,,,,29.7,4.82,26.5,26.0,,29.5,0.0,,
2023-05-30 13:55:00,,46.25,29.6,29.2,29.4,27.8,27.8,[27.8],,0.76,,,,29.6,4.86,27.5,26.0,,29.2,0.0,,
2023-05-30 14:00:00,,46.27,29.4,29.2,29.3,27.5,27.5,[27.5],,0.76,,,,29.4,4.81,26.0,26.0,,29.2,0.0,,
2023-05-30 14:05:00,,46.74,29.6,29.4,29.5,28.0,28.0,[28.0],,0.75,,,,29.6,5.0,28.0,26.0,,29.4,0.0,,
2023-05-30 14:10:00,,46.31,29.7,29.6,29.65,28.0,28.0,[28.0],,0.75,,,,29.6,0.79,26.5,26.0,,29.7,0.0,,
2023-05-30 14:15:00,,46.71,29.7,29.4,29.55,28.0,28.0,[28.0],,0.76,,,,29.7,4.81,26.5,26.0,,29.4,0.0,,
2023-05-30 14:20:00,,46.260000000000005,29.4,29.4,29.4,27.6,27.6,[27.6],,0.78,,,,29.4,0.58,27.5,26.0,,29.4,0.0,,
2023-05-30 14:25:00,,46.760000000000005,29.8,29.6,29.700000000000003,27.9,27.9,[27.9],,0.76,,,,29.8,4.76,27.0,26.0,,29.6,0.0,,
2023-05-30 14:30:00,,46.77,29.9,29.6,29.75,28.4,28.4,[28.4],,0.74,,,,29.9,0.58,28.5,26.0,,29.6,0.0,,
2023-05-30 14:35:00,,46.400000000000006,29.9,29.9,29.9,28.0,28.0,[28.0],,0.76,,,,29.9,4.83,26.5,26.0,,29.9,0.0,,
2023-05-30 14:40:00,,46.31,29.9,29.8,29.85,27.6,27.6,[27.6],,0.77,,,,29.8,5.0,27.5,26.0,,29.9,0.0,,
2023-05-30 14:45:00,,46.27,29.6,29.1,29.35,27.5,27.5,[27.5],,0.78,,,,29.6,4.89,26.0,26.0,,29.1,0.0,,
