time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1176760_c,1176760_h,1176760_p,1176760_r,1176760_s,3819596_c,3819596_h,3819596_p,3819596_r,3819596_s,3819597_c,3819597_h,3819597_p,3819597_r,3819597_s,3819598_c,3819598_p,3819598_r,3819598_s
2023-05-30 15:30:00,,,34.4,28.7,30.6,27.933333333333334,28.6,"[28.5, 26.7, 28.6]",1.0,34.4,5.6,26.1,25.0,1.0,28.7,0.1,27.0,25.0,1.0,28.7,0.2,27.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 15:35:00,,,34.2,29.6,31.133333333333336,27.866666666666664,28.9,"[28.9, 26.4, 28.3]",1.0,34.2,5.7,26.0,25.0,1.0,29.6,0.1,27.0,25.0,1.0,29.6,0.1,23.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 15:40:00,,,34.1,29.2,30.83333333333333,27.8,28.7,"[28.7, 26.5, 28.2]",1.0,34.1,5.8,25.8,25.0,1.0,29.2,3.4,24.0,25.0,1.0,29.2,0.0,27.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 15:45:00,,,34.0,29.2,30.8,27.8,28.5,"[28.5, 26.7, 28.2]",1.0,34.0,5.8,25.9,25.0,1.0,29.2,0.1,26.0,25.0,1.0,29.2,3.3,25.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 15:50:00,,,34.8,28.9,30.866666666666664,27.6,28.2,"[28.2, 26.4, 28.2]",1.0,34.8,5.8,26.0,25.0,1.0,28.9,3.4,23.0,25.0,1.0,28.9,0.1,26.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 15:55:00,,,35.1,29.0,31.03333333333333,27.666666666666668,28.3,"[28.1, 26.6, 28.3]",1.0,35.1,5.8,25.4,25.0,1.0,29.0,0.1,26.0,25.0,1.0,29.0,0.0,27.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 16:00:00,,,34.6,29.2,31.0,27.866666666666664,28.7,"[28.7, 26.7, 28.2]",1.0,34.6,5.9,25.9,25.0,1.0,29.2,0.1,26.0,25.0,1.0,29.2,3.3,25.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 16:05:00,,,34.6,29.6,31.26666666666667,27.83333333333333,28.8,"[28.8, 26.5, 28.2]",1.0,34.6,5.8,26.1,25.0,1.0,29.6,3.3,26.0,25.0,1.0,29.6,0.1,26.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 16:10:00,,,35.2,29.0,31.066666666666663,27.766666666666666,28.4,"[28.4, 26.7, 28.2]",1.0,35.2,5.9,26.3,25.0,1.0,29.0,0.1,26.0,25.0,1.0,29.0,3.3,27.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 16:15:00,,,35.2,29.2,31.200000000000003,27.7,28.5,"[28.5, 26.4, 28.2]",1.0,35.2,5.7,25.6,25.0,1.0,29.2,3.3,24.0,25.0,1.0,29.2,0.1,25.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 16:20:00,,,34.1,28.8,30.566666666666663,27.633333333333336,28.3,"[28.1, 26.5, 28.3]",1.0,34.1,1.5,25.9,25.0,1.0,28.8,0.1,25.0,25.0,1.0,28.8,0.0,27.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 16:25:00,,,35.1,29.4,31.3,27.96666666666667,28.7,"[28.5, 26.7, 28.7]",1.0,35.1,5.8,26.6,25.0,1.0,29.4,0.1,27.0,25.0,1.0,29.4,3.5,27.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 16:30:00,,,34.4,29.7,31.266666666666666,27.9,28.9,"[28.9, 26.5, 28.3]",1.0,34.4,5.7,26.2,25.0,1.0,29.7,0.4,27.0,25.0,1.0,29.7,0.1,25.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 16:35:00,,,34.1,28.7,30.5,27.766666666666666,28.4,"[28.2, 26.7, 28.4]",1.0,34.1,5.8,25.7,25.0,1.0,28.7,0.1,24.0,25.0,1.0,28.7,0.0,27.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 16:40:00,,,34.0,29.3,30.866666666666664,27.666666666666668,28.3,"[28.3, 26.6, 28.1]",1.0,34.0,5.7,26.0,25.0,1.0,29.3,0.1,27.0,25.0,1.0,29.3,3.3,23.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 16:45:00,,,34.8,28.7,30.73333333333333,27.633333333333336,28.2,"[28.2, 26.5, 28.2]",1.0,34.8,5.8,25.6,25.0,1.0,28.7,3.4,23.0,25.0,1.0,28.7,0.0,27.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 16:50:00,,,34.0,29.1,30.73333333333333,27.83333333333333,28.6,"[28.2, 26.7, 28.6]",1.0,34.0,1.5,27.1,25.0,1.0,29.1,0.1,26.0,25.0,1.0,29.1,3.3,25.0,25.0,0.0,4.1,0.0,0.0
2023-05-30 16:55:00,,,34.2,29.4,31.0,27.9,28.8,"[28.8, 26.5, 28.4]",1.0,34.2,5.6,26.5,25.0,1.0,29.4,0.1,26.0,25.0,1.0,29.4,0.1,26.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 17:00:00,,,34.2,29.8,31.266666666666666,27.933333333333334,28.8,"[28.8, 26.7, 28.3]",1.0,34.2,5.7,25.5,25.0,1.0,29.8,3.2,27.0,25.0,1.0,29.8,0.4,27.0,25.0,0.0,4.0,0.0,0.0
2023-05-30 17:05:00,,,34.7,28.9,30.83333333333333,27.6,28.2,"[28.2, 26.5, 28.1]",0.0,34.7,5.7,26.0,25.0,0.0,28.9,0.1,25.0,25.0,0.0,28.9,0.1,23.0,25.0,0.0,4.0,27.0,25.0
2023-05-30 17:10:00,,,34.1,29.5,31.03333333333333,27.766666666666666,28.5,"[28.5, 26.5, 28.3]",1.0,34.1,5.7,25.5,25.0,1.0,29.5,0.1,27.0,25.0,1.0,29.5,0.0,27.0,25.0,1.0,3.9,27.5,25.0
2023-05-30 17:15:00,,,35.3,29.6,31.5,27.866666666666664,28.8,"[28.8, 26.7, 28.1]",1.0,35.3,5.7,26.1,25.0,1.0,29.6,0.1,27.0,25.0,1.0,29.6,0.1,27.0,25.0,1.0,4.0,27.5,25.0
2023-05-30 17:20:00,,,35.9,28.9,31.23333333333333,27.633333333333336,28.3,"[28.3, 26.5, 28.1]",1.0,35.9,5.6,25.8,25.0,1.0,28.9,3.4,23.0,25.0,1.0,28.9,0.1,23.0,25.0,1.0,4.0,27.5,25.0
2023-05-30 17:25:00,,,35.9,29.4,31.566666666666663,27.7,28.4,"[28.4, 26.6, 28.1]",1.0,35.9,5.7,25.6,25.0,1.0,29.4,0.1,27.0,25.0,1.0,29.4,0.0,27.0,25.0,1.0,4.0,26.5,25.0
2023-05-30 17:30:00,,,35.7,28.7,31.03333333333333,27.866666666666664,28.8,"[28.1, 26.7, 28.8]",1.0,35.7,5.1,27.1,25.0,1.0,28.7,3.3,23.0,25.0,1.0,28.7,0.4,27.0,25.0,1.0,4.0,28.5,25.0
2023-05-30 17:35:00,,,35.7,29.2,31.36666666666667,27.73333333333333,28.4,"[28.2, 26.6, 28.4]",1.0,35.7,5.6,25.5,25.0,1.0,29.2,0.1,27.0,25.0,1.0,29.2,0.1,23.0,25.0,1.0,3.9,27.0,25.0
2023-05-30 17:40:00,,,35.7,28.7,31.03333333333333,27.766666666666666,28.7,"[28.0, 26.6, 28.7]",1.0,35.7,1.5,26.4,25.0,1.0,28.7,3.4,23.0,25.0,1.0,28.7,0.0,27.0,25.0,1.0,4.0,28.5,25.0
