time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3835716_c,3835716_h,3835716_r,3835716_s,3835717_c,3835717_h,3835717_r,3835717_s,3835718_c,3835718_h,3835718_r,3835718_s,3835719_c,3835719_h,3835719_r,3835719_s,3835720_c,3835720_h,3835720_r,3835720_s
2023-06-01 06:10:00,25.0,36.2,26.2,30.920000000000005,26.0,26.0,[26.0],1.0,28.0,25.0,24.0,1.0,36.2,25.0,24.0,1.0,26.2,25.0,24.0,1.0,28.0,26.0,25.0,1.0,36.2,26.0,24.0
2023-06-01 06:15:00,24.6,36.1,26.0,30.8,26.1,26.1,[26.1],1.0,27.9,24.0,24.0,1.0,36.1,26.0,24.0,1.0,26.0,24.0,24.0,1.0,27.9,26.0,25.0,1.0,36.1,26.0,24.0
2023-06-01 06:20:00,25.0,36.3,26.3,31.06,26.2,26.2,[26.2],1.0,28.2,25.0,24.0,1.0,36.3,25.0,24.0,1.0,26.3,26.0,24.0,1.0,28.2,26.0,25.0,1.0,36.3,25.0,24.0
2023-06-01 06:25:00,25.1,36.4,26.8,31.360000000000003,26.4,26.4,[26.4],1.0,28.6,26.0,24.0,1.0,36.4,26.0,24.0,1.0,26.8,25.0,24.0,1.0,28.6,26.0,25.0,1.0,36.4,26.0,24.0
2023-06-01 06:30:00,25.1,36.2,26.4,31.160000000000004,26.1,26.1,[26.1],1.0,28.5,25.0,24.0,1.0,36.2,25.0,24.0,1.0,26.4,26.0,24.0,1.0,28.5,27.0,25.0,1.0,36.2,26.0,24.0
2023-06-01 06:35:00,25.3,36.2,26.3,31.14,26.1,26.1,[26.1],1.0,28.5,24.0,24.0,1.0,36.2,26.0,24.0,1.0,26.3,24.0,24.0,1.0,28.5,26.0,25.0,1.0,36.2,26.0,24.0
2023-06-01 06:40:00,25.2,36.1,26.0,30.92,26.0,26.0,[26.0],1.0,28.2,25.0,24.0,1.0,36.1,25.0,24.0,1.0,26.0,25.0,24.0,1.0,28.2,26.0,25.0,1.0,36.1,26.0,24.0
2023-06-01 06:45:00,25.4,36.2,26.0,30.880000000000003,25.8,25.8,[25.8],1.0,28.0,24.0,24.0,1.0,36.2,26.0,24.0,1.0,26.0,24.0,24.0,1.0,28.0,25.0,25.0,1.0,36.2,26.0,24.0
2023-06-01 06:50:00,25.2,36.3,26.4,31.08,26.2,26.2,[26.2],1.0,28.2,25.0,24.0,1.0,36.3,26.0,24.0,1.0,26.4,25.0,24.0,1.0,28.2,26.0,25.0,1.0,36.3,26.0,24.0
2023-06-01 06:55:00,25.4,36.4,26.8,31.360000000000003,26.3,26.3,[26.3],1.0,28.6,26.0,24.0,1.0,36.4,26.0,24.0,1.0,26.8,25.0,24.0,1.0,28.6,26.0,25.0,1.0,36.4,26.0,24.0
2023-06-01 07:00:00,25.2,36.3,26.5,31.26,26.1,26.1,[26.1],1.0,28.6,26.0,24.0,1.0,36.3,25.0,24.0,1.0,26.5,26.0,24.0,1.0,28.6,27.0,25.0,1.0,36.3,26.0,24.0
2023-06-01 07:05:00,25.2,36.3,26.3,31.18,26.1,26.1,[26.1],1.0,28.5,24.0,24.0,1.0,36.3,26.0,24.0,1.0,26.3,25.0,24.0,1.0,28.5,26.0,25.0,1.0,36.3,26.0,24.0
