time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3812492_c,3812492_h,3812492_p,3812492_r,3812492_s,3816385_h
2023-06-01 06:15:00,23.9,4.38,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.54,27.0,28.0,30.9
2023-06-01 06:20:00,23.7,4.37,30.7,30.7,30.7,29.1,29.1,[29.1],,30.7,0.54,27.5,28.0,30.7
2023-06-01 06:25:00,24.1,4.22,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.54,28.0,28.0,30.8
2023-06-01 06:30:00,24.1,4.24,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.54,27.0,28.0,30.8
2023-06-01 06:35:00,24.0,4.25,30.6,30.6,30.6,29.1,29.1,[29.1],,30.6,0.54,27.0,28.0,30.6
2023-06-01 06:40:00,24.2,4.26,30.7,30.7,30.7,29.2,29.2,[29.2],,30.7,0.54,28.0,28.0,30.7
2023-06-01 06:45:00,24.0,4.36,30.8,30.8,30.8,29.4,29.4,[29.4],,30.8,0.54,27.0,28.0,30.8
2023-06-01 06:50:00,24.2,4.35,30.7,30.7,30.7,29.2,29.2,[29.2],,30.7,0.54,27.0,28.0,30.7
2023-06-01 06:55:00,24.1,4.36,30.6,30.6,30.6,29.0,29.0,[29.0],,30.6,0.54,27.0,28.0,30.6
2023-06-01 07:00:00,24.2,4.46,30.7,30.7,30.7,29.3,29.3,[29.3],,30.7,0.53,28.0,28.0,30.7
2023-06-01 07:05:00,24.3,4.47,30.9,30.9,30.9,29.3,29.3,[29.3],,30.9,0.54,27.0,28.0,30.9
2023-06-01 07:10:00,24.5,4.21,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.54,27.0,28.0,30.8
2023-06-01 07:15:00,24.6,4.25,30.7,30.7,30.7,29.1,29.1,[29.1],,30.7,0.54,27.5,28.0,30.7
2023-06-01 07:20:00,24.6,4.75,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.53,27.5,28.0,30.8
2023-06-01 07:25:00,24.8,4.21,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.54,27.0,28.0,30.8
2023-06-01 07:30:00,24.8,4.28,30.6,30.6,30.6,29.1,29.1,[29.1],,30.6,0.54,27.0,28.0,30.6
2023-06-01 07:35:00,25.1,4.21,30.6,30.6,30.6,29.3,29.3,[29.3],,30.6,0.54,27.5,28.0,30.6
2023-06-01 07:40:00,25.3,4.49,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.54,27.0,28.0,30.8
2023-06-01 07:45:00,25.3,4.5,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.54,27.0,28.0,30.8
2023-06-01 07:50:00,25.4,4.27,30.6,30.6,30.6,29.0,29.0,[29.0],,30.6,0.54,27.5,28.0,30.6
2023-06-01 07:55:00,25.8,4.34,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.54,27.5,28.0,30.8
2023-06-01 08:00:00,25.5,4.42,30.7,30.7,30.7,29.2,29.2,[29.2],,30.7,0.54,27.0,28.0,30.7
2023-06-01 08:05:00,25.6,4.44,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.54,27.0,28.0,30.8
2023-06-01 08:10:00,25.8,4.68,30.6,30.6,30.6,29.0,29.0,[29.0],,30.6,0.54,27.0,28.0,30.6
2023-06-01 08:15:00,26.3,4.5,30.7,30.7,30.7,29.3,29.3,[29.3],,30.7,0.53,28.0,28.0,30.7
2023-06-01 08:20:00,25.7,4.34,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.53,27.0,28.0,30.8
2023-06-01 08:25:00,25.4,4.3,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.54,27.0,28.0,30.8
2023-06-01 08:30:00,25.4,4.33,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.53,27.5,28.0,30.8
2023-06-01 08:35:00,25.3,4.37,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.53,27.5,28.0,30.8
2023-06-01 08:40:00,25.9,4.43,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.53,27.0,28.0,30.8
2023-06-01 08:45:00,26.0,4.32,30.8,30.8,30.8,29.0,29.0,[29.0],,30.8,0.53,27.0,28.0,30.8
2023-06-01 08:50:00,26.6,4.3,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.53,27.5,28.0,30.8
2023-06-01 08:55:00,26.7,4.28,30.9,30.9,30.9,29.3,29.3,[29.3],,30.9,0.53,27.0,28.0,30.9
2023-06-01 09:00:00,27.1,4.46,30.9,30.9,30.9,29.1,29.1,[29.1],,30.9,0.53,27.0,28.0,30.9
2023-06-01 09:05:00,26.2,4.24,30.7,30.7,30.7,28.9,28.9,[28.9],,30.7,0.53,27.0,28.0,30.7
