time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,43294_c,43294_p,43294_r,43294_s,43295_c,43295_h,43295_p,43295_r,43295_s
2023-05-30 14:20:00,,26.0,30.5,30.5,30.5,26.1,26.1,[26.1],1.0,5.0,27.1,27.0,1.0,30.5,27.24,26.9,27.0
2023-05-30 14:25:00,,26.0,30.9,30.9,30.9,25.6,25.6,[25.6],1.0,5.0,25.0,27.0,1.0,30.9,26.58,24.2,27.0
2023-05-30 14:30:00,,26.0,30.5,30.5,30.5,25.7,25.7,[25.7],1.0,5.0,25.4,27.0,1.0,30.5,3.6,25.5,27.0
2023-05-30 14:35:00,,26.0,30.5,30.5,30.5,26.1,26.1,[26.1],1.0,5.0,26.1,27.0,1.0,30.5,26.28,26.3,27.0
2023-05-30 14:40:00,,26.0,31.1,31.1,31.1,26.2,26.2,[26.2],1.0,5.0,25.8,27.0,1.0,31.1,26.76,25.9,27.0
2023-05-30 14:45:00,,26.0,31.1,31.1,31.1,26.2,26.2,[26.2],1.0,5.0,26.5,27.0,1.0,31.1,2.82,26.5,27.0
2023-05-30 14:50:00,,26.0,31.1,31.1,31.1,25.8,25.8,[25.8],1.0,45.84,25.0,27.0,1.0,31.1,26.46,23.9,27.0
2023-05-30 14:55:00,,26.0,30.9,30.9,30.9,25.7,25.7,[25.7],1.0,5.0,25.2,27.0,1.0,30.9,26.7,25.3,27.0
2023-05-30 15:00:00,,26.0,30.5,30.5,30.5,26.1,26.1,[26.1],1.0,5.0,26.6,27.0,1.0,30.5,26.1,26.7,27.0
2023-05-30 15:05:00,,26.0,31.1,31.1,31.1,26.3,26.3,[26.3],1.0,5.0,25.9,27.0,1.0,31.1,26.88,26.2,27.0
2023-05-30 15:10:00,,26.0,31.3,31.3,31.3,26.2,26.2,[26.2],1.0,5.0,25.6,27.0,1.0,31.3,4.38,25.9,27.0
2023-05-30 15:15:00,,26.0,31.2,31.2,31.2,26.4,26.4,[26.4],1.0,5.0,26.6,27.0,1.0,31.2,26.34,26.7,27.0
2023-05-30 15:20:00,,26.0,31.5,31.5,31.5,25.7,25.7,[25.7],1.0,5.0,25.1,27.0,1.0,31.5,26.76,24.8,27.0
2023-05-30 15:25:00,,26.0,30.7,30.7,30.7,25.8,25.8,[25.8],1.0,5.0,26.0,27.0,1.0,30.7,2.82,25.9,27.0
2023-05-30 15:30:00,,26.0,30.7,30.7,30.7,25.9,25.9,[25.9],1.0,46.84,25.7,27.0,1.0,30.7,26.58,24.8,27.0
2023-05-30 15:35:00,,26.0,31.0,31.0,31.0,25.6,25.6,[25.6],1.0,5.0,25.2,27.0,1.0,31.0,26.94,25.1,27.0
2023-05-30 15:40:00,,26.0,30.4,30.4,30.4,26.0,26.0,[26.0],1.0,5.0,26.6,27.0,1.0,30.4,2.82,26.5,27.0
2023-05-30 15:45:00,,26.0,30.8,30.8,30.8,26.2,26.2,[26.2],1.0,5.0,25.9,27.0,1.0,30.8,26.64,26.3,27.0
2023-05-30 15:50:00,,26.0,31.2,31.2,31.2,26.2,26.2,[26.2],1.0,5.0,25.6,27.0,1.0,31.2,26.76,25.9,27.0
2023-05-30 15:55:00,,26.0,31.2,31.2,31.2,26.3,26.3,[26.3],1.0,5.0,26.6,27.0,1.0,31.2,2.76,25.8,27.0
2023-05-30 16:00:00,,26.0,31.3,31.3,31.3,25.8,25.8,[25.8],1.0,5.0,24.9,27.0,1.0,31.3,26.58,24.0,27.0
