time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,2059922_c,2059922_h,2059922_r,2059922_s,2059923_c,2059923_h,2059923_r,2059923_s,2059924_c,2059924_h,2059924_r,2059924_s,2059925_c,2059925_h,2059925_r,2059925_s
2023-05-30 12:55:00,,25.9,19.0,23.15,21.73333333333333,25.6,"[25.6, 14.8, 24.8]",1.0,21.8,25.4,25.0,1.0,25.9,27.9,25.0,1.0,19.0,18.9,,1.0,25.9,25.1,25.0
2023-05-30 13:00:00,,26.1,18.8,23.175,21.83333333333333,25.6,"[25.6, 14.8, 25.1]",1.0,21.8,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.8,18.9,,1.0,26.1,25.1,25.0
2023-05-30 13:05:00,,26.4,18.7,23.225,22.0,25.6,"[25.6, 15.0, 25.4]",1.0,21.8,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.7,18.9,,1.0,26.4,25.1,25.0
2023-05-30 13:10:00,,26.6,19.0,23.4,22.133333333333336,25.8,"[25.8, 15.1, 25.5]",1.0,21.9,25.4,25.0,1.0,26.1,27.9,25.0,1.0,19.0,18.9,,1.0,26.6,25.1,25.0
2023-05-30 13:15:00,,26.6,19.1,23.45,22.1,25.7,"[25.7, 15.2, 25.4]",1.0,21.9,25.4,25.0,1.0,26.2,27.9,25.0,1.0,19.1,18.9,,1.0,26.6,25.1,25.0
2023-05-30 13:20:00,,26.7,18.9,23.4,21.2,25.7,"[25.7, 14.5, 23.4]",1.0,22.0,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.9,18.9,,1.0,26.7,25.1,25.0
2023-05-30 13:25:00,,26.0,18.9,23.075,21.5,25.6,"[25.6, 14.7, 24.2]",1.0,21.8,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.9,18.9,,1.0,25.6,25.1,25.0
2023-05-30 13:30:00,,25.9,18.6,23.000000000000004,21.6,25.5,"[25.5, 14.7, 24.6]",1.0,21.8,25.4,25.0,1.0,25.9,27.9,25.0,1.0,18.6,18.9,,1.0,25.7,25.1,25.0
2023-05-30 13:35:00,,26.1,18.7,23.1,21.73333333333333,25.5,"[25.5, 14.8, 24.9]",1.0,21.7,25.4,25.0,1.0,25.9,27.9,25.0,1.0,18.7,18.9,,1.0,26.1,25.1,25.0
2023-05-30 13:40:00,,26.1,18.7,23.15,21.933333333333334,25.6,"[25.6, 15.0, 25.2]",1.0,21.8,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.7,18.9,,1.0,26.1,25.1,25.0
2023-05-30 13:45:00,,26.4,19.0,23.35,22.1,25.7,"[25.7, 15.1, 25.5]",1.0,21.9,25.4,25.0,1.0,26.1,27.9,25.0,1.0,19.0,18.9,,1.0,26.4,25.1,25.0
2023-05-30 13:50:00,,26.8,19.0,23.475,22.166666666666668,25.6,"[25.6, 15.3, 25.6]",1.0,22.0,25.4,25.0,1.0,26.1,27.9,25.0,1.0,19.0,18.9,,1.0,26.8,25.1,25.0
2023-05-30 13:55:00,,26.2,18.8,23.2,21.46666666666667,25.7,"[25.7, 14.8, 23.9]",1.0,22.0,25.4,25.0,1.0,26.2,27.9,25.0,1.0,18.8,18.9,,1.0,25.8,25.1,25.0
2023-05-30 14:00:00,,26.0,18.6,23.025,21.46666666666667,25.6,"[25.6, 14.8, 24.0]",1.0,21.8,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.6,18.9,,1.0,25.7,25.1,25.0
2023-05-30 14:05:00,,25.9,18.7,23.05,21.666666666666668,25.6,"[25.6, 14.9, 24.5]",1.0,21.8,25.4,25.0,1.0,25.9,27.9,25.0,1.0,18.7,18.9,,1.0,25.8,25.1,25.0
2023-05-30 14:10:00,,25.9,18.7,23.05,21.8,25.5,"[25.5, 15.0, 24.9]",1.0,21.8,25.4,25.0,1.0,25.9,27.9,25.0,1.0,18.7,18.9,,1.0,25.8,24.3,25.0
2023-05-30 14:15:00,,26.1,18.7,23.175,21.96666666666667,25.6,"[25.6, 15.1, 25.2]",1.0,21.9,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.7,18.9,,1.0,26.1,24.3,25.0
2023-05-30 14:20:00,,26.4,18.7,23.25,22.133333333333336,25.7,"[25.7, 15.2, 25.5]",1.0,21.9,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.7,18.9,,1.0,26.4,24.3,25.0
2023-05-30 14:25:00,,26.7,18.7,23.4,22.2,25.7,"[25.7, 15.2, 25.7]",1.0,22.0,25.4,25.0,1.0,26.2,27.9,25.0,1.0,18.7,18.9,,1.0,26.7,24.3,25.0
2023-05-30 14:30:00,,26.7,18.9,23.4,21.3,25.7,"[25.7, 14.9, 23.3]",1.0,21.9,25.4,25.0,1.0,26.1,27.9,25.0,1.0,18.9,18.9,,1.0,26.7,24.3,25.0
2023-05-30 14:35:00,,26.1,18.9,23.1,21.5,25.6,"[25.6, 14.8, 24.1]",1.0,21.9,25.4,25.0,1.0,26.1,27.9,25.0,1.0,18.9,18.9,,1.0,25.5,24.3,25.0
2023-05-30 14:40:00,,25.9,18.5,23.0,21.7,25.6,"[25.6, 14.9, 24.6]",1.0,21.8,25.4,25.0,1.0,25.9,27.9,25.0,1.0,18.5,18.9,,1.0,25.8,24.3,25.0
2023-05-30 14:45:00,,26.0,18.7,23.125,21.83333333333333,25.5,"[25.5, 15.1, 24.9]",1.0,21.8,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.7,18.9,,1.0,26.0,24.3,25.0
2023-05-30 14:50:00,,26.1,18.7,23.15,22.066666666666663,25.7,"[25.7, 15.2, 25.3]",1.0,21.8,25.9,25.0,1.0,26.0,27.8,25.0,1.0,18.7,18.7,,1.0,26.1,24.7,25.0
2023-05-30 14:55:00,,26.2,18.7,23.200000000000003,22.2,25.7,"[25.7, 15.3, 25.6]",1.0,21.8,25.9,25.0,1.0,26.1,27.8,25.0,1.0,18.7,18.7,,1.0,26.2,24.7,25.0
2023-05-30 15:00:00,,26.3,18.9,23.3,21.666666666666668,25.7,"[25.7, 15.1, 24.2]",1.0,21.9,25.9,25.0,1.0,26.1,27.8,25.0,1.0,18.9,18.7,,1.0,26.3,24.7,25.0
2023-05-30 15:05:00,,26.1,18.5,23.0,21.433333333333334,25.7,"[25.7, 14.8, 23.8]",1.0,21.8,25.9,25.0,1.0,26.1,27.8,25.0,1.0,18.5,18.7,,1.0,25.6,24.7,25.0
2023-05-30 15:10:00,,25.9,18.6,22.975,21.633333333333336,25.5,"[25.5, 15.0, 24.4]",1.0,21.8,24.8,25.0,1.0,25.9,27.2,25.0,1.0,18.6,18.7,,1.0,25.6,23.1,25.0
2023-05-30 15:15:00,,25.9,18.6,22.95,21.766666666666666,25.5,"[25.5, 15.0, 24.8]",1.0,21.7,24.8,25.0,1.0,25.9,27.2,25.0,1.0,18.6,18.7,,1.0,25.6,23.1,25.0
2023-05-30 15:20:00,,26.0,18.5,23.05,21.933333333333337,25.6,"[25.6, 15.1, 25.1]",1.0,21.8,24.8,25.0,1.0,25.9,27.2,25.0,1.0,18.5,18.7,,1.0,26.0,23.1,25.0
2023-05-30 15:25:00,,26.3,18.5,23.175,22.1,25.6,"[25.6, 15.3, 25.4]",1.0,21.8,24.8,25.0,1.0,26.1,27.2,25.0,1.0,18.5,18.7,,1.0,26.3,23.1,25.0
2023-05-30 15:30:00,,26.4,18.8,23.3,22.166666666666668,25.7,"[25.7, 15.4, 25.4]",1.0,21.9,24.8,25.0,1.0,26.1,27.2,25.0,1.0,18.8,18.7,,1.0,26.4,23.1,25.0
2023-05-30 15:35:00,,26.5,18.7,23.275,21.3,25.7,"[25.7, 14.8, 23.4]",1.0,21.9,24.8,25.0,1.0,26.0,27.2,25.0,1.0,18.7,18.7,,1.0,26.5,23.1,25.0
2023-05-30 15:40:00,,25.8,18.7,23.0,21.5,25.6,"[25.6, 14.8, 24.1]",1.0,21.9,24.8,25.0,1.0,25.8,27.2,25.0,1.0,18.7,18.7,,1.0,25.6,23.1,25.0
2023-05-30 15:45:00,,25.9,18.7,22.975,21.73333333333333,25.6,"[25.6, 15.0, 24.6]",1.0,21.7,24.8,25.0,1.0,25.9,27.2,25.0,1.0,18.7,18.7,,1.0,25.6,23.1,25.0
2023-05-30 15:50:00,,25.9,18.8,23.025,21.83333333333333,25.5,"[25.5, 15.1, 24.9]",1.0,21.7,24.8,25.0,1.0,25.9,27.2,25.0,1.0,18.8,18.7,,1.0,25.7,23.1,25.0
2023-05-30 15:55:00,,26.2,18.6,23.1,22.0,25.6,"[25.6, 15.2, 25.2]",1.0,21.7,24.8,25.0,1.0,25.9,27.2,25.0,1.0,18.6,18.7,,1.0,26.2,23.1,25.0
2023-05-30 16:00:00,,26.6,18.7,23.275,22.133333333333336,25.6,"[25.6, 15.3, 25.5]",1.0,21.7,24.8,25.0,1.0,26.1,27.2,25.0,1.0,18.7,18.7,,1.0,26.6,23.1,25.0
2023-05-30 16:05:00,,26.1,18.9,23.175000000000004,21.53333333333333,25.8,"[25.8, 15.1, 23.7]",1.0,21.8,24.8,25.0,1.0,26.1,27.2,25.0,1.0,18.9,18.7,,1.0,25.9,23.1,25.0
2023-05-30 16:10:00,,25.8,18.5,22.9,21.433333333333334,25.7,"[25.7, 14.8, 23.8]",1.0,21.8,24.8,25.0,1.0,25.8,27.2,25.0,1.0,18.5,18.7,,1.0,25.5,23.1,25.0
2023-05-30 16:15:00,,25.8,18.6,22.95,21.6,25.5,"[25.5, 14.9, 24.4]",1.0,21.7,24.8,25.0,1.0,25.8,27.2,25.0,1.0,18.6,18.7,,1.0,25.7,23.1,25.0
2023-05-30 16:20:00,,25.9,18.4,22.950000000000003,21.8,25.5,"[25.5, 15.1, 24.8]",1.0,21.7,24.8,25.0,1.0,25.8,27.2,25.0,1.0,18.4,18.7,,1.0,25.9,23.1,25.0
2023-05-30 16:25:00,,26.2,18.4,23.025,21.96666666666667,25.5,"[25.5, 15.2, 25.2]",1.0,21.7,24.8,25.0,1.0,25.8,27.2,25.0,1.0,18.4,18.7,,1.0,26.2,23.1,25.0
2023-05-30 16:30:00,,26.4,18.4,23.15,22.1,25.6,"[25.6, 15.2, 25.5]",1.0,21.8,24.8,25.0,1.0,26.0,27.2,25.0,1.0,18.4,18.7,,1.0,26.4,23.1,25.0
2023-05-30 16:35:00,,26.3,18.7,23.25,21.7,25.6,"[25.6, 15.1, 24.4]",1.0,21.9,24.8,25.0,1.0,26.1,27.2,25.0,1.0,18.7,18.7,,1.0,26.3,23.1,25.0
2023-05-30 16:40:00,,26.0,18.5,22.925,21.23333333333333,25.6,"[25.6, 14.7, 23.4]",1.0,21.9,24.8,25.0,1.0,26.0,27.2,25.0,1.0,18.5,18.7,,1.0,25.3,23.1,25.0
2023-05-30 16:45:00,,26.0,18.6,22.975,21.566666666666663,25.5,"[25.5, 14.9, 24.3]",1.0,21.7,24.8,25.0,1.0,26.0,27.2,25.0,1.0,18.6,18.7,,1.0,25.6,23.1,25.0
