time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3818463_c,3818463_r,3818463_s,3818464_c,3818464_h,3818464_r,3818464_s,3818465_c,3818465_h,3818465_r,3818465_s,3818466_c,3818466_h,3818466_r,3818466_s,3818467_c,3818467_h,3818467_r,3818467_s,3818468_c,3818468_r,3818468_s,3818469_c,3818469_r,3818469_s,3818470_c,3818470_h,3818470_r,3818470_s
2023-06-05 21:05:00,23.5,35.59,32.2,25.1,28.020000000000003,23.8,23.8,[23.8],1.0,26.0,25.0,1.0,25.1,27.0,25.0,1.0,25.1,26.0,25.0,1.0,32.2,27.0,25.0,1.0,25.5,24.8,25.0,1.0,25.2,24.0,1.0,25.5,24.0,1.0,32.2,25.0,25.0
2023-06-05 21:10:00,23.6,35.58,32.0,25.0,27.9,23.6,23.6,[23.6],1.0,25.0,25.0,1.0,25.0,27.0,25.0,1.0,25.0,26.0,25.0,1.0,32.0,27.0,25.0,1.0,25.5,24.8,25.0,1.0,24.9,24.0,1.0,25.4,24.0,1.0,32.0,25.0,25.0
2023-06-05 21:15:00,23.5,35.59,32.0,24.8,27.74,24.2,24.2,[24.2],1.0,26.0,25.0,1.0,24.8,27.0,25.0,1.0,24.8,27.0,25.0,1.0,32.0,27.0,25.0,1.0,25.1,25.7,25.0,1.0,25.8,24.0,1.0,25.7,24.0,1.0,32.0,26.0,25.0
2023-06-05 21:20:00,23.6,35.61,32.1,25.0,28.0,24.4,24.4,[24.4],1.0,26.0,25.0,1.0,25.0,27.0,25.0,1.0,25.0,27.0,25.0,1.0,32.1,27.0,25.0,1.0,25.8,25.8,25.0,1.0,26.1,24.0,1.0,26.0,24.0,1.0,32.1,26.0,25.0
2023-06-05 21:25:00,23.3,35.59,32.1,25.0,28.0,23.8,23.8,[23.8],1.0,26.0,25.0,1.0,25.0,27.0,25.0,1.0,25.0,26.0,25.0,1.0,32.1,27.0,25.0,1.0,25.8,24.8,25.0,1.0,25.1,24.0,1.0,25.5,24.0,1.0,32.1,25.0,25.0
2023-06-05 21:30:00,23.5,35.58,32.0,25.0,27.82,23.7,23.7,[23.7],1.0,25.0,25.0,1.0,25.0,27.0,25.0,1.0,25.0,26.0,25.0,1.0,32.0,26.0,25.0,1.0,25.1,24.8,25.0,1.0,24.8,24.0,1.0,25.4,24.0,1.0,32.0,25.0,25.0
2023-06-05 21:35:00,23.5,35.6,31.9,24.8,27.76,24.2,24.2,[24.2],1.0,26.0,25.0,1.0,24.8,27.0,25.0,1.0,24.8,27.0,25.0,1.0,31.9,27.0,25.0,1.0,25.4,25.7,25.0,1.0,25.8,24.0,1.0,25.7,24.0,1.0,31.9,26.0,25.0
2023-06-05 21:40:00,23.5,35.61,31.9,25.0,27.840000000000003,24.5,24.5,[24.5],1.0,26.0,25.0,1.0,25.0,27.0,25.0,1.0,25.0,27.0,25.0,1.0,31.9,27.0,25.0,1.0,25.4,26.0,25.0,1.0,26.1,24.0,1.0,25.9,24.0,1.0,31.9,26.0,25.0
2023-06-05 21:45:00,23.5,35.59,32.1,25.0,28.02,24.0,24.0,[24.0],1.0,26.0,25.0,1.0,25.0,27.0,25.0,1.0,25.0,26.0,25.0,1.0,32.1,27.0,25.0,1.0,25.9,24.8,25.0,1.0,25.2,24.0,1.0,25.9,24.0,1.0,32.1,25.0,25.0
2023-06-05 21:50:00,23.6,35.57,32.0,24.9,27.880000000000003,23.6,23.6,[23.6],1.0,25.0,25.0,1.0,24.9,27.0,25.0,1.0,24.9,26.0,25.0,1.0,32.0,27.0,25.0,1.0,25.6,24.8,25.0,1.0,24.8,24.0,1.0,25.3,24.0,1.0,32.0,25.0,25.0
2023-06-05 21:55:00,23.6,35.59,31.9,24.8,27.74,24.1,24.1,[24.1],1.0,26.0,25.0,1.0,24.8,27.0,25.0,1.0,24.8,26.0,25.0,1.0,31.9,27.0,25.0,1.0,25.3,25.4,25.0,1.0,25.8,24.0,1.0,25.7,24.0,1.0,31.9,26.0,25.0
2023-06-05 22:00:00,23.5,35.6,31.9,24.8,27.84,24.4,24.4,[24.4],1.0,26.0,25.0,1.0,24.8,27.0,25.0,1.0,24.8,27.0,25.0,1.0,31.9,27.0,25.0,1.0,25.8,25.7,25.0,1.0,26.1,24.0,1.0,25.8,24.0,1.0,31.9,26.0,25.0
2023-06-05 22:05:00,23.3,35.59,32.2,25.0,28.04,24.2,24.2,[24.2],1.0,26.0,25.0,1.0,25.0,27.0,25.0,1.0,25.0,26.0,25.0,1.0,32.2,27.0,25.0,1.0,25.8,25.2,25.0,1.0,25.7,24.0,1.0,25.8,24.0,1.0,32.2,25.0,25.0
2023-06-05 22:10:00,23.1,35.58,32.1,25.0,27.94,23.8,23.8,[23.8],1.0,25.0,25.0,1.0,25.0,27.0,25.0,1.0,25.0,26.0,25.0,1.0,32.1,27.0,25.0,1.0,25.5,24.8,25.0,1.0,25.0,24.0,1.0,25.5,24.0,1.0,32.1,25.0,25.0
2023-06-05 22:15:00,23.3,35.58,32.1,25.0,27.94,23.8,23.8,[23.8],1.0,25.0,25.0,1.0,25.0,27.0,25.0,1.0,25.0,26.0,25.0,1.0,32.1,27.0,25.0,1.0,25.5,25.1,25.0,1.0,25.2,24.0,1.0,25.5,24.0,1.0,32.1,25.0,25.0
2023-06-05 22:20:00,23.3,35.59,32.0,24.8,27.82,24.3,24.3,[24.3],1.0,26.0,25.0,1.0,24.8,27.0,25.0,1.0,24.8,27.0,25.0,1.0,32.0,27.0,25.0,1.0,25.5,25.7,25.0,1.0,26.0,24.0,1.0,25.7,24.0,1.0,32.0,26.0,25.0
2023-06-05 22:25:00,23.2,35.61,32.0,25.1,27.94,24.3,24.3,[24.3],1.0,26.0,25.0,1.0,25.1,27.0,25.0,1.0,25.1,26.0,25.0,1.0,32.0,27.0,25.0,1.0,25.5,25.5,25.0,1.0,26.2,24.0,1.0,26.0,24.0,1.0,32.0,25.0,25.0
2023-06-05 22:30:00,23.0,35.58,32.1,25.1,28.06,23.8,23.8,[23.8],1.0,26.0,25.0,1.0,25.1,27.0,25.0,1.0,25.1,26.0,25.0,1.0,32.1,27.0,25.0,1.0,25.9,24.8,25.0,1.0,25.0,24.0,1.0,25.5,24.0,1.0,32.1,25.0,25.0
2023-06-05 22:35:00,23.1,35.59,32.0,24.9,27.860000000000003,23.9,23.9,[23.9],1.0,25.0,25.0,1.0,24.9,27.0,25.0,1.0,24.9,26.0,25.0,1.0,32.0,27.0,25.0,1.0,25.5,25.4,25.0,1.0,25.5,24.0,1.0,25.4,24.0,1.0,32.0,26.0,25.0
2023-06-05 22:40:00,23.3,35.6,32.1,24.9,27.92,24.4,24.4,[24.4],1.0,26.0,25.0,1.0,24.9,27.0,25.0,1.0,24.9,27.0,25.0,1.0,32.1,27.0,25.0,1.0,25.6,25.7,25.0,1.0,26.0,24.0,1.0,25.9,24.0,1.0,32.1,26.0,25.0
2023-06-05 22:45:00,23.4,35.6,32.2,25.1,28.120000000000005,24.3,24.3,[24.3],1.0,26.0,25.0,1.0,25.1,27.0,25.0,1.0,25.1,27.0,25.0,1.0,32.2,27.0,25.0,1.0,26.0,25.5,25.0,1.0,25.8,24.0,1.0,25.9,24.0,1.0,32.2,26.0,25.0
2023-06-05 22:50:00,22.9,35.58,32.2,25.1,28.120000000000005,23.8,23.8,[23.8],1.0,26.0,25.0,1.0,25.1,27.0,25.0,1.0,25.1,26.0,25.0,1.0,32.2,27.0,25.0,1.0,26.0,24.8,25.0,1.0,24.9,24.0,1.0,25.4,24.0,1.0,32.2,25.0,25.0
2023-06-05 22:55:00,23.0,35.57,32.0,24.8,27.84,23.8,23.8,[23.8],1.0,25.0,25.0,1.0,24.8,27.0,25.0,1.0,24.8,26.0,25.0,1.0,32.0,27.0,25.0,1.0,25.6,24.8,25.0,1.0,24.9,24.0,1.0,25.3,24.0,1.0,32.0,25.0,25.0
