time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,2048082_h,3811493_h,3816387_c,3816387_h,3816387_p,3816387_r,3816387_s,3839078_h
2023-05-30 14:30:00,,99.01,,,,28.1,28.1,[28.1],,,,,0.67,26.5,26.0,
2023-05-30 14:35:00,,107.74,29.6,26.4,28.15,28.4,28.4,[28.4],26.4,29.6,,29.6,4.55,27.5,26.0,27.0
2023-05-30 14:40:00,,102.19,28.9,26.1,27.6,28.3,28.3,[28.3],26.1,28.9,,28.9,0.58,27.5,26.0,26.5
2023-05-30 14:45:00,,107.88,28.8,26.1,27.65,28.1,28.1,[28.1],26.1,28.8,,28.8,4.31,27.0,26.0,26.9
2023-05-30 14:50:00,,103.59,28.8,27.1,27.950000000000003,28.4,28.4,[28.4],27.1,28.8,,28.8,0.57,28.5,26.0,27.1
2023-05-30 14:55:00,,105.27,28.7,27.1,27.9,28.3,28.3,[28.3],27.1,28.7,,28.7,4.42,26.5,26.0,27.1
2023-05-30 15:00:00,,107.01,29.5,25.7,27.925,28.7,28.7,[28.7],25.7,29.5,,29.5,4.51,29.0,26.0,27.0
2023-05-30 15:05:00,,107.99,29.1,25.8,27.75,28.3,28.3,[28.3],25.8,29.1,,29.1,4.44,26.5,26.0,27.0
2023-05-30 15:10:00,,107.86,29.3,27.3,28.3,28.7,28.7,[28.7],27.3,29.3,,29.3,4.24,28.0,26.0,27.3
2023-05-30 15:15:00,,95.58,29.3,25.6,27.625,28.3,28.3,[28.3],25.6,29.3,,29.3,0.79,26.5,26.0,26.3
2023-05-30 15:20:00,,106.1,28.8,26.4,27.7,28.2,28.2,[28.2],26.4,28.8,,28.8,4.39,27.5,26.0,26.8
2023-05-30 15:25:00,,102.12,29.1,26.2,27.700000000000003,28.1,28.1,[28.1],26.2,29.1,,29.1,0.57,28.0,26.0,26.4
2023-05-30 15:30:00,,106.78,29.4,26.6,28.125,28.8,28.8,[28.8],26.6,29.4,,29.4,4.47,27.5,26.0,27.1
2023-05-30 15:35:00,,94.19,29.3,26.6,28.075000000000003,28.9,28.9,[28.9],26.6,29.3,,29.3,0.57,27.0,26.0,27.1
2023-05-30 15:40:00,,106.41,29.1,27.0,28.05,28.3,28.3,[28.3],27.0,29.1,,29.1,4.46,27.0,26.0,27.0
2023-05-30 15:45:00,,97.61,29.1,25.6,27.700000000000003,28.2,28.2,[28.2],25.6,29.1,,29.1,3.09,29.0,26.0,27.0
2023-05-30 15:50:00,,101.68,29.1,25.6,27.725,28.1,28.1,[28.1],25.6,29.1,,29.1,4.31,27.5,26.0,27.1
2023-05-30 15:55:00,,106.13,29.0,27.8,28.4,28.4,28.4,[28.4],27.8,29.0,,29.0,4.71,28.5,26.0,27.8
2023-05-30 16:00:00,,107.26,29.0,25.5,27.6,28.1,28.1,[28.1],25.5,29.0,,29.0,4.31,27.0,26.0,26.9
2023-05-30 16:05:00,,106.88,29.0,26.9,28.025,28.4,28.4,[28.4],26.9,29.0,,29.0,4.31,28.0,26.0,27.2
2023-05-30 16:10:00,,103.08,28.9,26.9,27.975,27.9,27.9,[27.9],26.9,28.9,,28.9,0.63,27.0,26.0,27.2
2023-05-30 16:15:00,,105.14,29.8,26.6,28.375,28.5,28.5,[28.5],26.6,29.8,,29.8,4.33,28.0,26.0,27.3
2023-05-30 16:20:00,,103.63,29.4,26.6,28.075000000000003,28.8,28.8,[28.8],26.6,29.4,,29.4,0.56,28.0,26.0,26.9
2023-05-30 16:25:00,,106.45,29.4,26.8,28.125,28.6,28.6,[28.6],26.8,29.4,,29.4,4.35,27.5,26.0,26.9
