time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1358333_c,1358333_h,1358333_r,1358333_s,1358334_c,1358334_h,1358334_r,1358334_s,1358338_c,1358338_h,1358338_r,1358338_s,1358341_c,1358341_h,1358341_r,1358341_s,1358342_c,1358342_h,1358342_r,1358342_s,3826022_c,3826022_h,3826022_r,3826022_s,3826023_c,3826023_h,3826023_r,3826023_s,3826024_c,3826024_h,3826024_r,3826024_s
2023-05-30 16:00:00,,45156.38,26.3,25.0,25.6,27.2,27.2,[27.2],1.0,25.0,25.7,25.0,1.0,,26.6,25.0,1.0,,27.4,26.0,1.0,,26.6,26.0,1.0,,27.0,25.0,1.0,26.3,27.3,25.0,1.0,,26.5,25.0,1.0,25.5,28.0,25.0
2023-05-30 16:05:00,,45103.03,26.1,25.0,25.53333333333333,26.9,26.9,[26.9],1.0,25.0,26.1,25.0,1.0,,26.9,25.0,1.0,,26.4,26.0,1.0,,26.3,26.0,1.0,,26.6,25.0,1.0,26.1,27.5,25.0,1.0,,26.5,25.0,1.0,25.5,27.1,25.0
2023-05-30 16:10:00,,45189.02,26.8,25.3,25.83333333333333,27.1,27.1,[27.1],1.0,25.3,26.8,25.0,1.0,,27.1,25.0,1.0,,27.2,26.0,1.0,,26.6,26.0,1.0,,27.4,25.0,1.0,26.8,29.8,25.0,1.0,,26.8,25.0,1.0,25.4,27.6,25.0
2023-05-30 16:15:00,,45191.61,26.2,25.0,25.53333333333333,27.3,27.3,[27.3],1.0,25.0,26.2,25.0,1.0,,26.8,25.0,1.0,,26.1,26.0,1.0,,26.1,26.0,1.0,,26.5,25.0,1.0,26.2,27.1,25.0,1.0,,26.5,25.0,1.0,25.4,27.0,25.0
2023-05-30 16:20:00,,45230.46,26.4,25.3,25.7,27.0,27.0,[27.0],1.0,25.3,26.6,25.0,1.0,,27.1,25.0,1.0,,26.8,26.0,1.0,,26.4,26.0,1.0,,27.1,25.0,1.0,26.4,27.7,25.0,1.0,,26.7,25.0,1.0,25.4,27.1,25.0
2023-05-30 16:25:00,,45156.2,26.4,24.7,25.5,27.0,27.0,[27.0],1.0,24.7,25.7,25.0,1.0,,26.7,25.0,1.0,,27.2,26.0,1.0,,26.4,26.0,1.0,,27.1,25.0,1.0,26.4,27.3,25.0,1.0,,26.5,25.0,1.0,25.4,27.6,25.0
2023-05-30 16:30:00,,45238.75,25.9,25.3,25.566666666666663,26.7,26.7,[26.7],1.0,25.3,26.4,25.0,1.0,,26.7,25.0,1.0,,26.6,26.0,1.0,,26.2,26.0,1.0,,26.8,25.0,1.0,25.9,26.8,25.0,1.0,,26.1,25.0,1.0,25.5,27.0,25.0
2023-05-30 16:35:00,,45175.52,26.2,25.5,25.73333333333333,26.8,26.8,[26.8],1.0,25.5,26.9,25.0,1.0,,26.9,25.0,1.0,,27.3,26.0,1.0,,26.6,26.0,1.0,,27.0,25.0,1.0,26.2,29.1,25.0,1.0,,26.7,25.0,1.0,25.5,27.8,25.0
2023-05-30 16:40:00,,45122.44,26.5,24.5,25.46666666666667,27.0,27.0,[27.0],1.0,24.5,25.7,25.0,1.0,,26.6,25.0,1.0,,26.4,26.0,1.0,,26.2,26.0,1.0,,27.5,25.0,1.0,26.5,27.3,25.0,1.0,,27.6,25.0,1.0,25.4,27.1,25.0
2023-05-30 16:45:00,,45155.26,25.8,25.2,25.46666666666667,26.8,26.8,[26.8],1.0,25.2,26.3,25.0,1.0,,26.6,25.0,1.0,,27.0,26.0,1.0,,26.4,26.0,1.0,,26.7,25.0,1.0,25.8,26.8,25.0,1.0,,26.3,25.0,1.0,25.4,27.3,25.0
