地市,数据中心,机房名称,机房类别,状态记录,回退原因,开始调控日期,控制范围,机柜最高温,环境最高温,机柜预警线,机柜报警线,回风预警线,环境报警线,空调数量,机柜id,环境id,空调id,压线标志,控制描述,,,,,,
嘉兴,禾_L_嘉兴真如(B)C网基站,3F综合机房,D,,,2023/3/3,22-30,36,30.6,37,38,31,32,2,,,,,,,,,,,
嘉兴,禾_S_嘉兴油车港工业园区(B)C网基站,1F综合机房,D,,,2023/3/3,22-30,34.3,28.7,38,39,31,30,1,,,,,,,,,,,
嘉兴,禾_D_海宁钱江工业园区局,1F综合机房,D,,,2023/3/7,22-29,28.9,22.8,33,34,29,30,1,,,,,,,,,,,
嘉兴,禾_D_嘉兴石堰局,1F综合机房,D,,,2023/3/7,22-29,41.5,25.3,43,44,29,30,2,,,,,,,,,,,
嘉兴,禾_J_嘉兴清河(A)C网基站,14F综合机房,D,,,2023/3/7,22-29,33.5,26.1,38,39,29,30,2,,,,,,,,,,,
嘉兴,禾_L_嘉兴高照(A)C网基站,1F综合机房,D,,,2023/3/7,22-29,30.6,28.6,33,34,29,30,2,,,,,,,,,,,
嘉兴,禾_D_平湖乍浦局,2FZ01机房,D,,,2023/3/16,22-29,32,25.8,37,38,29,30,2,,,,,,,,,,,
嘉兴,禾_D_桐乡濮院局,2F综合机房,D,,,2023/3/16,22-29,27.2,23.8,33,34,29,30,2,,,,,,,,,,,
嘉兴,禾_J_嘉善西塘(B)C网基站,3F综合机房,D,,,2023/3/16,22-29,38.8,26,39,40,29,30,1,,,,,,,,,,,
嘉兴,禾_B_嘉兴中山路局,5FIDC4机房,B,,,2023/3/17,22-29,28.4,24.8,33,34,29,27,5,,,,,,,,,,,
嘉兴,禾_D_海盐于城局,2F综合机房,D,,,2023/3/17,22-29,28.8,25.3,33,34,29,30,3,,,,,,,,,,,
金华,婺_C_东阳城中局,5FD01机房,C,已回退, 空调在21度一天多了，环境温度超过阈值压不下去，怀疑空调无法影响环境测点,2023/3/17,22-29,35.6,25.9,40,41,29,28,1,,,,,,,,,,,
金华,婺_D_兰溪水亭局,2F综合机房,D,,,2023/3/17,26-30,28.2,25.1,59,60,33,35,1,,,,,,,,,,,
金华,婺_D_兰溪游埠局,2F综合机房,D,,,2023/3/17,22-29,34.2,27.8,59,60,33,35,1,,,,,,,,,,,
