,time,room_id,acu_id,setting_t,setting_h,cp_status,fan_speed,return_t,fd_status,fd_degree,mode,temp,group_temp,active_power,outdoor_t,outdoor_h
78,2021042301,14,917751,24,50,1,40,25.4,1,100,1,30.0,"[26.40625, 25.40625, 26.59375, 28.0, 29.40625, 30.0, 27.90625, 28.796875, 29.296875, 25.796875]",21.5925,17.4,17.7
79,2021042301,14,917752,24,50,1,40,24,1,100,1,32.3,"[23.59375, 24.09375, 25.40625, 31.296875, 29.59375, 30.296875, 32.3125, 28.796875, 26.703125, 25.296875, 22.90625, 21.09375, 22.796875, 25.296875, 22.59375, 22.296875, 25.0, 23.0]",31.473875,17.4,17.7
80,2021042301,2,131077,24,50,1,76.1,25.1,1,100,1,31.3,"[28.59375, 31.09375, 31.296875, 31.0, 30.59375, 30.296875, 31.203125, 30.203125]",18.653,17.4,17.7
81,2021042301,2,131078,24,50,1,40,25.1,1,100,1,29.6,"[22.203125, 23.09375, 24.796875, 19.296875, 20.703125, 22.59375, 21.296875, 25.296875, 29.59375]",27.565,17.4,17.7
82,2021042301,2,131079,24,50,1,78.4,26.1,1,100,1,34.6,"[30.796875, 17.40625, 19.703125, 22.90625, 34.5, 26.59375, 19.40625, 21.0, 22.09375, 30.90625, 26.59375, 34.59375, 23.09375, 17.59375, 23.09375]",49.442,17.4,17.7
83,2021042301,2,131080,24,50,1,40,23.5,1,100,1,26.4,"[25.59375, 26.40625, 26.296875, 24.59375, 21.703125, 22.796875, 25.296875]",18.991001,17.4,17.7
84,2021042301,2,131081,24,50,1,51.4,24,1,100,1,30.4,"[28.296875, 28.59375, 27.296875, 30.40625, 24.0, 24.296875, 26.296875, 26.09375, 26.796875]",34.092,17.4,17.7
85,2021042301,2,131083,24,50,1,78.4,26.1,1,100,1,32.7,"[29.296875, 30.5, 31.59375, 32.6875, 32.09375, 31.09375, 27.09375, 24.5, 22.09375, 22.5]",20.506,17.4,17.7
86,2021042301,2,131084,24,50,1,80,25.2,1,100,1,34.3,"[26.09375, 27.796875, 25.40625, 28.5, 26.90625, 24.5, 25.703125, 24.5, 25.59375, 25.296875, 28.5, 26.5, 23.296875, 22.796875, 26.90625, 34.3125, 31.203125, 25.5, 25.5, 29.40625]",22.168,17.4,17.7
87,2021042301,2,131088,24,50,1,80,25.1,1,100,1,26.9,"[16.59375, 23.796875, 26.703125, 26.90625, 23.40625, 23.796875, 21.0, 20.09375, 19.5, 21.296875]",21.14725,17.4,17.7
88,2021042301,2,131089,24,50,1,47.5,25.6,1,100,1,29.0,"[25.0, 27.296875, 28.703125, 28.40625, 29.0, 27.296875, 26.296875, 26.796875, 26.796875, 24.296875]",17.116001,17.4,17.7
89,2021042301,4,262147,24,50,1,76.1,25.3,1,100,1,33.5,"[25.796875, 23.59375, 25.59375, 33.5, 27.5, 22.90625, 24.0, 24.703125, 24.59375, 25.40625]",26.431,17.4,17.7
90,2021042301,4,262398,24,50,1,40,24.3,1,100,1,34.1,"[26.59375, 27.40625, 27.796875, 34.09375, 29.5]",1.5675,17.4,17.7
91,2021042301,4,262397,24,50,1,40,24,1,100,1,34.1,"[23.796875, 24.0, 26.59375, 27.40625, 27.796875, 34.09375, 22.796875, 30.703125, 29.59375, 29.796875, 28.796875, 24.203125]",32.704002,17.4,17.7
92,2021042301,4,262396,24,50,1,80,24.8,1,100,1,24.8,"[24.296875, 24.09375, 21.5, 19.09375, 22.203125, 24.796875, 22.09375, 22.796875, 23.296875]",15.261,17.4,17.7
93,2021042301,4,262395,24,50,1,40,23.5,1,100,1,25.0,"[21.203125, 22.59375, 21.796875, 21.5, 22.203125, 24.5, 24.09375, 25.0, 24.59375]",20.41775,17.4,17.7
94,2021042301,14,917685,24,50,1,76.5,25.8,1,100,1,22.5,"[18.90625, 19.09375, 18.796875, 18.5, 18.296875, 18.90625, 19.59375, 19.5, 19.90625, 22.5, 22.0, 21.09375, 20.796875, 20.0, 19.703125, 20.09375, 20.296875, 21.0]",36.374,17.4,17.7
95,2021042301,4,262393,24,50,1,40,24.4,1,100,1,31.5,"[31.5, 23.40625, 22.203125, 22.203125, 22.5, 23.703125, 22.703125, 22.5]",18.513,17.4,17.7
96,2021042301,4,262160,24,50,1,40,25.6,1,100,1,32.4,"[25.296875, 25.5, 26.09375, 32.40625, 28.203125, 27.59375, 24.796875, 22.796875, 24.59375, 25.40625, 24.703125, 25.59375, 27.796875, 28.59375, 29.90625, 29.40625, 28.40625, 27.203125]",27.61525,17.4,17.7
97,2021042301,4,262394,24,50,1,45.9,25.4,1,100,1,30.5,"[27.59375, 26.90625, 30.0, 29.0, 30.5, 28.09375, 25.5]",56.293,17.4,17.7
98,2021042302,15,983068,24,50,1,33.3,25.1,1,100,1,22.1,"[22.0, 21.5, 22.09375, 20.90625, 19.0, 19.40625, 21.5, 20.40625, 22.09375]",9.109,17.2,17.7
